product_id,product_name,category,sales,customers,transactions,sales_share,cumulative_share,ABC,repeat_rate,max_pair_lift,customers_index,repeat_rate_index,max_pair_lift_index,growth_room,flyer_score
P010,青果10,青果,947119,1521,2843,0.010443054140520642,0.7603797393641955,B,0.556870479947403,1.182408675663481,0.9369369369369369,0.9438293220692804,0.5540127917052122,0.06306306306306309,0.7118479158310106
P049,乳製品9,乳製品,801468,1539,2833,0.008837087753381358,0.8486439170694576,B,0.5289148797920727,1.2130635342749823,0.9774774774774775,0.8120120458796026,0.6147651118656207,0.022522522522522515,0.7021897849318013
P034,惣菜4,惣菜,2111191,1502,2833,0.023278259557647892,0.07349761387450165,A,0.5605858854860186,1.1701882326924593,0.8941441441441441,0.9613483392007001,0.5297941099854087,0.10585585585585588,0.701614441125356
P038,惣菜8,惣菜,1985400,1531,2784,0.02189127204774657,0.16178972075881937,A,0.519268451992162,1.2080821181529258,0.9594594594594594,0.7665268539867656,0.60489285667323,0.04054054054054057,0.6847468195568908
P032,惣菜2,惣菜,1621019,1508,2823,0.01787356095676745,0.32008026711541826,A,0.5497347480106101,1.1486945705728917,0.9076576576576577,0.910182655844932,0.48719760484224983,0.09234234234234229,0.6808765967033269
P036,惣菜6,惣菜,1843893,1502,2805,0.02033099792985573,0.24573044390447543,A,0.5466045272969374,1.1613178398264334,0.8941441441441441,0.8954229237677738,0.5122146145398409,0.10585585585585588,0.6807382134057325
P009,青果9,青果,748324,1526,2817,0.008251115273424954,0.8824968937471377,B,0.536697247706422,1.1607290446033953,0.9481981981981982,0.8487077538978712,0.511047730152858,0.05180180180180183,0.6795785106523218
P044,乳製品4,乳製品,720194,1538,2847,0.00794095032797159,0.8904378440751093,B,0.5429128738621587,1.1336191081460703,0.9752252252252253,0.878015903431778,0.45732079700804745,0.024774774774774744,0.6788792201550014
P042,乳製品2,乳製品,1024201,1522,2814,0.011292970042598008,0.717696356765944,B,0.5440210249671484,1.1440179379078634,0.9391891891891891,0.8832410983642673,0.47792937468861846,0.060810810810810856,0.6781304561010593
P001,青果1,青果,1271891,1503,2788,0.014024031377092995,0.5215922600295,A,0.5455755156353959,1.1566582613999834,0.8963963963963963,0.8905708900558107,0.5029801827662748,0.10360360360360366,0.6776670474848007
P003,青果3,青果,1800935,1505,2800,0.019857337576966085,0.2655877814814415,A,0.5289036544850498,1.1915582232893158,0.9009009009009009,0.811959115898206,0.5721455208015086,0.09909909909909909,0.6762063393551088
P031,惣菜1,惣菜,2385364,1538,2863,0.026301325806840407,0.026301325806840407,A,0.5533159947984395,1.1004406855655968,0.9752252252252253,0.9270690826900627,0.3915672348542815,0.024774774774774744,0.6747041244311311
P006,青果6,青果,1131597,1504,2809,0.012477131950948864,0.6134524546082203,A,0.5305851063829787,1.1842439673719567,0.8986486486486487,0.8198875598592522,0.5576500040268904,0.10135135135135132,0.6741141207012654
P043,乳製品3,乳製品,878907,1549,2838,0.009690939982708166,0.8309082378276882,B,0.5300193673337638,1.1437320773662132,1.0,0.8172199662434008,0.47736285140538764,0.0,0.6736457044121972
P033,惣菜3,惣菜,1456722,1527,2821,0.016062001410263663,0.38666393718574366,A,0.5409299279633268,1.1314007521230522,0.9504504504504504,0.8686658438457502,0.4529244213128225,0.0495495495495496,0.6704876563797333
P039,惣菜9,惣菜,2034294,1481,2772,0.02243038348901912,0.09592799736352077,A,0.550303848750844,1.1480630010457047,0.8468468468468469,0.9128661006301754,0.48594594961181836,0.15315315315315314,0.6690723819298677
