product_a,product_b,pair_count,support,confidence,lift
P027,P057,104,0.002514689169910777,0.06139315230224321,1.4074482260331886
P063,P078,97,0.002345431245012936,0.055176336746302616,1.2965498629641121
P015,P069,98,0.0023696109485697703,0.05465699944227551,1.286539286245981
P020,P023,94,0.002272892134342433,0.053469852104664393,1.2585957162735375
P019,P026,95,0.0022970718378992673,0.05422374429223744,1.2584351249686105
P026,P064,97,0.002345431245012936,0.05443322109988777,1.2555464166358385
P057,P073,98,0.0023696109485697703,0.05432372505543237,1.2530208015156254
P065,P074,96,0.0023212515414561016,0.05417607223476298,1.2489185169526713
P020,P024,95,0.0022970718378992673,0.0540386803185438,1.245057215562126
P022,P053,95,0.0022970718378992673,0.05263157894736842,1.2388640925021719
P065,P073,95,0.0022970718378992673,0.0536117381489842,1.2365982457487672
P052,P076,96,0.0023212515414561016,0.0526027397260274,1.2360747198007473
P020,P066,95,0.0022970718378992673,0.0540386803185438,1.2299822245096401
P014,P079,94,0.002272892134342433,0.05181918412348401,1.2267235247824433
P068,P080,95,0.0022970718378992673,0.0528071150639244,1.223497959495082
P049,P069,146,0.0035302367192978214,0.05153547476173667,1.2130635342749823
P056,P078,91,0.00220035302367193,0.05155807365439093,1.2115268477980943
P038,P055,145,0.003506057015740987,0.052083333333333336,1.2080821181529258
P018,P079,92,0.002224532727228764,0.0507446221731936,1.2012852542740515
P061,P071,93,0.0022487124307855985,0.05284090909090909,1.2007370754245754
P013,P021,92,0.002224532727228764,0.05057724024189115,1.1980085479289186
P054,P058,96,0.0023212515414561016,0.05303867403314917,1.1960307753483916
P014,P070,88,0.0021278139130014267,0.04851157662624035,1.1956455748101442
P064,P066,94,0.002272892134342433,0.05242610150585611,1.193278084742813
P065,P072,96,0.0023212515414561016,0.05417607223476298,1.19242140469031
P003,P080,144,0.0034818773121841526,0.05142857142857143,1.1915582232893158
P030,P037,146,0.0035302367192978214,0.07956403269754768,1.19135760328475
P015,P051,94,0.002272892134342433,0.05242610150585611,1.190656935737337
P071,P076,92,0.002224532727228764,0.05054945054945055,1.1878259240759241
P020,P029,90,0.0021761733201150955,0.051194539249146756,1.1868007621787906
P006,P060,148,0.00357859612641149,0.05268778924884301,1.1842439673719567
P010,P079,142,0.003433517905070484,0.049947238832219486,1.182408675663481
P024,P074,92,0.002224532727228764,0.05125348189415042,1.1815441754160416
P014,P023,91,0.00220035302367193,0.050165380374862185,1.1808136802294682
P027,P049,137,0.0033126193872863117,0.0808736717827627,1.1806185823931226
P016,P079,85,0.0020552748023309232,0.049591598599766626,1.1739895496797643
P012,P042,141,0.0034093382015136496,0.07979626485568761,1.1727555528204239
P034,P062,141,0.0034093382015136496,0.049770561242499116,1.1701882326924593
P070,P075,86,0.002079454505887758,0.05125148986889154,1.1678280256241031
P067,P080,93,0.0022487124307855985,0.05037919826652221,1.1672450995566157
P027,P068,86,0.002079454505887758,0.05076741440377804,1.1670861353513333
P067,P079,91,0.00220035302367193,0.04929577464788732,1.1669864637164717
P068,P074,91,0.00220035302367193,0.05058365758754864,1.1661027462922235
P014,P080,91,0.00220035302367193,0.050165380374862185,1.1622911126964568
P024,P059,96,0.0023212515414561016,0.053481894150417826,1.1616862901149319
P025,P026,91,0.00220035302367193,0.05005500550055005,1.1616862303514301
P036,P072,148,0.00357859612641149,0.05276292335115865,1.1613178398264334
P029,P069,88,0.0021278139130014267,0.04932735426008968,1.1610878714482238
P009,P058,145,0.003506057015740987,0.05147319843805467,1.1607290446033953
P069,P080,88,0.0021278139130014267,0.05008537279453614,1.1604374020524544
P053,P056,87,0.0021036342094445924,0.04951622083096187,1.1602506203433938
P071,P079,89,0.002151993616558261,0.0489010989010989,1.1576432439912692
P037,P061,136,0.0032884396837294773,0.049239681390296886,1.1570485813968798
P001,P053,137,0.0033126193872863117,0.04913916786226686,1.1566582613999834
P056,P080,88,0.0021278139130014267,0.04985835694050991,1.1551776291253044
P029,P073,89,0.002151993616558261,0.04988789237668161,1.150704721150263
P032,P076,138,0.0033367990908431465,0.048884165781083955,1.1486945705728917
P048,P050,214,0.00517445656116256,0.0772005772005772,1.148070575794416
P039,P049,218,0.0052711753753898975,0.07864357864357864,1.1480630010457047
P026,P070,83,0.0020069153952172545,0.04657687991021325,1.1479618727334262
P019,P033,137,0.0033126193872863117,0.07819634703196347,1.1463900475721067
P020,P056,86,0.002079454505887758,0.048919226393629126,1.1462620090432405
P048,P062,135,0.003264259980172643,0.048701298701298704,1.1450481014153555
P032,P066,142,0.003433517905070484,0.05030109812256465,1.1449105751540485
P019,P074,87,0.0021036342094445924,0.04965753424657534,1.1447528672439333
P042,P076,137,0.0033126193872863117,0.04868514570007108,1.1440179379078634
P016,P065,84,0.002031095098774089,0.049008168028004666,1.1438097094436732
P043,P077,143,0.0034576976086273183,0.050387596899224806,1.1437320773662132
P067,P077,93,0.0022487124307855985,0.05037919826652221,1.143541439466827
P027,P075,85,0.0020552748023309232,0.050177095631641085,1.1433466358334878
P003,P023,136,0.0032884396837294773,0.04857142857142857,1.1432945767948615
P029,P033,139,0.003360978794399981,0.07791479820627803,1.1422624280102944
P025,P075,91,0.00220035302367193,0.05005500550055005,1.1405646625268586
P019,P061,85,0.0020552748023309232,0.048515981735159815,1.1400428730801162
P026,P047,139,0.003360978794399981,0.07800224466891134,1.1395050627948309
P058,P077,92,0.002224532727228764,0.05016357688113413,1.1386471180422966
P022,P043,141,0.0034093382015136496,0.0781163434903047,1.1383571591714345
P060,P066,92,0.002224532727228764,0.05,1.1380572372041828
P002,P015,137,0.0033126193872863117,0.04933381346777098,1.1379244414872305
P070,P071,84,0.002031095098774089,0.050059594755661505,1.1375355276427983
P002,P067,141,0.0034093382015136496,0.05077421678069859,1.1375239888403854
P014,P029,89,0.002151993616558261,0.04906284454244763,1.1373834426804972
P057,P074,89,0.002151993616558261,0.04933481152993348,1.137313155208171
P058,P059,96,0.0023212515414561016,0.05234460196292257,1.1369830374898051
P042,P054,140,0.003385158497956815,0.04975124378109453,1.1367746900854843
P014,P056,88,0.0021278139130014267,0.04851157662624035,1.1367100705560464
P003,P051,140,0.003385158497956815,0.05,1.13555738605162
P004,P028,127,0.003070822351717968,0.04636728733114275,1.1353534056566434
P028,P058,85,0.0020552748023309232,0.05032563647128478,1.1348513345381268
P044,P074,140,0.003385158497956815,0.04917456972251493,1.1336191081460703
P021,P033,135,0.003264259980172643,0.07731958762886598,1.1335364004136868
P066,P079,87,0.0021036342094445924,0.04788112272977435,1.1334971910333589
P014,P019,87,0.0021036342094445924,0.047960308710033074,1.132131556689976
P011,P079,84,0.002031095098774089,0.04780876494023904,1.131784253940164
P033,P060,142,0.003433517905070484,0.05033676001417937,1.1314007521230522
P016,P018,85,0.0020552748023309232,0.049591598599766626,1.131251926801185
P037,P060,139,0.003360978794399981,0.050325850832729904,1.1311555504832667
P025,P054,90,0.0021761733201150955,0.04950495049504951,1.1311470926098135
P004,P035,209,0.005053558043378388,0.07630522088353414,1.1302847493124362
P014,P036,139,0.003360978794399981,0.07662624035281147,1.129779473180472
